ID,IS_HCP,taxonomy
115501,0,2084P0800X
115502,0,2084P0800X
115503,0,2084P0800X
115504,0,207Q00000X
115505,0,2084P0800X
115506,0,2084P0800X
115507,0,2084P0800X
115508,0,2084P0800X
115509,0,2084P0800X
115510,0,2084P0800X
115511,0,207R00000X
115512,0,2084P0800X
115513,0,2084N0400X
115514,0,207Q00000X
115515,0,2084P0800X
115516,0,2084P0800X
115517,0,2084P0800X
115518,0,2084P0800X
115519,0,2084P0800X
115520,0,2084N0400X
115521,0,2084P0800X
115522,0,2084P0800X
115523,0,207R00000X
115524,0,2084P0800X
115525,0,2084P0800X
115526,0,2084N0400X
115527,1,2084P0800X
115528,0,2084P0800X
115529,0,2084P0800X
115530,0,2084P0800X
115531,0,2084P0800X
115532,0,2084P0800X
115533,0,2084P0800X
115534,0,2084P0800X
115535,0,2084P0800X
115536,1,207RG0100X
115537,0,2084P0800X
115538,0,2084P0800X
115539,0,2084P0800X
115540,0,2084P0800X
115541,0,2084N0400X
115542,0,207ZP0105X
115543,0,2084P0800X
115544,0,2084P0800X
115545,0,2084P0800X
115546,0,2084P0800X
115547,0,2084P0800X
115548,0,207Q00000X
115549,0,2084P0800X
115550,0,2084P0800X
115551,0,2084P0800X
115552,0,2084P0800X
115553,0,2084P0800X
115554,0,2084P0800X
115555,0,2084P0804X
115556,0,2084P0800X
115557,0,2084N0400X
115558,0,2084P0800X
115559,0,2084P0800X
115560,0,2084P0800X
115561,0,2084P0800X
115562,0,2084P0800X
115563,0,2084N0402X
115564,0,2084P0800X
115565,0,2084P0800X
115566,0,2084P0800X
115567,0,207R00000X
115568,0,2084P0800X
115569,0,2084P0800X
115570,1,2084P0800X
115571,0,2084P0800X
115572,0,2084P0800X
115573,0,2084P0800X
115574,0,2084P0800X
115575,0,2084P0800X
115576,0,2084P0800X
115577,0,2084P0800X
115578,0,2084P0800X
115579,0,2084P0800X
115580,0,2084P0800X
115581,0,2084P0800X
115582,1,2084P0800X
115583,0,2084P0800X
115584,0,2084P0800X
115585,0,207R00000X
115586,0,2084P0800X
115587,1,2084P0800X
115588,0,2084P0800X
115589,0,2084P0800X
115590,0,2084P0800X
115591,0,2084P0800X
115592,0,2084P0800X
115593,0,2084P0800X
115594,0,2084P0800X
115595,1,207R00000X
115596,1,2084N0400X
115597,0,2084P0800X
115598,0,2084P0800X
115599,0,2084P0800X
115600,0,2084P0800X
115601,0,2084P0800X
115602,0,207R00000X
115603,0,2084P0800X
115604,0,207ZP0105X
115605,0,2084P0800X
115606,0,2084P0800X
115607,0,2084P0800X
115608,0,2084P0800X
115609,0,2084P0800X
115610,0,2084P0800X
115611,0,2084P0800X
115612,0,207R00000X
115613,0,2084P0800X
115614,0,363A00000X
115615,0,2084P0800X
115616,0,2084P0800X
115617,0,2084P0800X
115618,0,2084P0800X
115619,1,2084P0800X
115620,1,207Q00000X
115621,0,2084N0400X
115622,0,2084P0800X
115623,1,2084P0800X
115624,1,207R00000X
115625,0,2084N0400X
115626,0,2084P0800X
115627,0,2084P0800X
115628,0,2084P0800X
115629,0,2084P0800X
115630,0,2084P0800X
115631,0,2084P0800X
115632,0,2084P0800X
115633,0,2084P0800X
115634,0,207T00000X
115635,0,2084N0400X
115636,0,2084P0800X
115637,0,2084P0800X
115638,0,2084P0800X
115639,0,2084P0800X
115640,0,2084P0800X
115641,0,2084P0800X
115642,0,2084P0800X
115643,0,2084P0800X
115644,0,2084P0800X
115645,0,2084P0800X
115646,0,2084P0800X
115647,1,2084P0800X
115648,0,2084P0800X
115649,0,2084P0800X
115650,0,2084P0800X
115651,0,2084P0800X
115652,0,2084P0800X
115653,1,2084P0800X
115654,0,2084P0800X
115655,0,207Q00000X
115656,0,207T00000X
115657,0,2084P0800X
115658,1,2084P0800X
115659,0,2084P0800X
115660,0,2084P0800X
115661,0,2084P0800X
115662,0,2084N0400X
115663,0,2084P0800X
115664,0,2084P0800X
115665,0,2084P0800X
115666,0,207R00000X
115667,0,207RG0100X
115668,0,2084P0800X
115669,0,2084P0800X
115670,0,2084P0800X
115671,0,2084P0800X
115672,0,2084P0800X
115673,0,2084P0800X
115674,0,2084P0800X
115675,0,2084P0800X
115676,0,2084P0800X
115677,1,2084N0400X
115678,0,2084P0800X
115679,0,2084N0400X
115680,0,2084N0400X
115681,0,2084P0800X
115682,0,2084P0800X
115683,0,2084P0800X
115684,0,2084P0800X
115685,0,2084N0400X
115686,0,2084P0800X
115687,0,2084P0800X
115688,0,2084P0800X
115689,0,2084F0202X
115690,0,207Q00000X
115691,0,174400000X
115692,0,2084P0800X
115693,0,2084P0800X
115694,1,2084P0800X
115695,0,2084P0800X
115696,0,2084P0800X
115697,0,2084P0800X
115698,0,2084P0800X
115699,0,2084P0800X
115700,0,207RG0300X
115701,0,2084P0800X
115702,0,2084P0800X
115703,0,207Q00000X
115704,0,2084P0800X
115705,0,207N00000X
115706,1,2084P0800X
115707,0,2084P0800X
115708,0,2084P0800X
115709,0,2084P0800X
115710,0,2084P0800X
115711,1,2084P0800X
115712,0,2084P0800X
115713,0,2084N0400X
115714,1,207R00000X
115715,0,2084P0800X
115716,0,2084P0800X
115717,0,2084P0800X
115718,0,2084P0800X
115719,0,2084P0800X
115720,0,2084P0800X
115721,0,2084P0800X
115722,0,2084P0800X
115723,0,2084P0800X
115724,0,2084P0800X
115725,0,2084N0400X
115726,0,2084P0800X
115727,0,2084P0800X
115728,0,2084P0800X
115729,0,2084P0800X
115730,0,2084P0800X
115731,0,2084P0800X
115732,0,2084P0800X
115733,0,2084P0800X
115734,0,2084P0800X
115735,1,2084P0800X
115736,0,2084P0800X
115737,1,207QA0505X
115738,0,2084P0800X
115739,0,2084P0800X
115740,0,2084P0800X
115741,0,2084P0800X
115742,0,2084P0800X
115743,0,2084P0800X
115744,0,2084P0800X
115745,0,2084P0800X
115746,0,2084P0800X
115747,0,2084P0800X
115748,1,2084P0800X
115749,0,2084P0800X
115750,0,2084P0800X
115751,0,207Q00000X
115752,0,207RH0003X
115753,0,2084P0800X
115754,0,207R00000X
115755,0,2084P0800X
115756,0,2084P0800X
115757,0,2084P0800X
115758,0,2084P0800X
115759,0,2084P0800X
115760,0,2084P0800X
115761,0,2084P0800X
115762,0,2084P0804X
115763,0,2084P0800X
115764,0,2084P0800X
115765,0,2084P0800X
115766,0,2084P0800X
115767,0,2084P0800X
115768,0,207RA0401X
115769,0,207Q00000X
115770,0,207Q00000X
115771,1,2084P0800X
115772,0,2084P0800X
115773,0,207RP1001X
115774,0,207R00000X
115775,0,2084P0800X
115776,0,2084P0800X
115777,0,2084P0800X
115778,0,2084N0400X
115779,0,2084P0800X
115780,0,2084P0800X
115781,0,2084P0800X
115782,0,2084N0400X
115783,0,2084P0800X
115784,0,2084P0800X
115785,1,2084P0800X
115786,0,2084P0800X
115787,0,2084P0800X
115788,0,2084P0800X
115789,0,2084P0800X
115790,0,2084P0800X
115791,0,2084P0800X
115792,0,2084P0800X
115793,0,2084P0804X
115794,0,2084P0800X
115795,0,2084P0800X
115796,1,2084P0800X
115797,0,2084N0400X
115798,0,2084N0400X
115799,0,2084P0800X
115800,0,2084P0800X
115801,0,208000000X
115802,0,2084P0800X
115803,0,2084P0800X
115804,0,2084P0800X
115805,0,2084P0800X
115806,0,2084P0800X
115807,0,2084P0800X
115808,0,2084P0800X
115809,0,2084P0800X
115810,0,2084P0800X
115811,0,2084P0800X
115812,0,2084P0800X
115813,0,2084P0800X
115814,0,2084P0800X
115815,0,2084P0800X
115816,0,2084P0800X
115817,0,2084P0800X
115818,0,207R00000X
115819,0,2084P0800X
115820,0,2084P0800X
115821,0,2084P0800X
115822,0,2084P0800X
115823,0,2084P0800X
115824,0,207Q00000X
115825,0,2084P0800X
115826,1,2084P0800X
115827,0,207R00000X
115828,1,2084N0400X
115829,0,2084P0800X
115830,0,2084P0800X
115831,0,207Q00000X
115832,0,2084P0800X
115833,0,2084P0800X
115834,0,2084P0800X
115835,0,2084P0800X
115836,0,2084N0400X
115837,0,2084P0800X
115838,0,2084P0800X
115839,0,174400000X
115840,0,2084P0800X
115841,0,2084P0800X
115842,0,2084P0800X
115843,1,364SP0809X
115844,0,2084P0800X
115845,0,2084N0400X
115846,0,2084P0800X
115847,0,363L00000X
115848,0,2084P0800X
115849,0,2084P0800X
115850,0,2084P0800X
115851,0,2084P0800X
115852,0,2084P0800X
115853,0,2084P0800X
115854,0,2084P0800X
115855,0,207Q00000X
115856,0,2084P0800X
115857,0,2084P0800X
115858,0,2084P0800X
115859,0,2084N0400X
115860,0,2084P0800X
115861,1,2084P0800X
115862,0,2084P0800X
115863,0,2084P0800X
115864,0,2084P0800X
115865,0,2084P0800X
115866,0,2084P0800X
115867,0,2084P0800X
115868,0,2084N0400X
115869,0,2084P0800X
115870,0,2084P0800X
115871,0,2084P0800X
115872,0,2084P0800X
115873,0,2084N0400X
115874,0,2084P0800X
115875,0,2084P0800X
115876,0,2084P0800X
115877,0,2084P0800X
115878,0,2084P0800X
115879,0,2084P0800X
115880,0,2084P0800X
115881,0,2084P0800X
115882,0,2084P0800X
115883,0,2084P0800X
115884,0,207RH0003X
115885,0,2084N0400X
115886,0,2084P0800X
115887,0,2084P0800X
115888,0,2084P0800X
115889,0,2084P0800X
115890,0,2084N0400X
115891,0,2084P0800X
115892,0,2084P0800X
115893,0,2084P0800X
115894,0,2084P0800X
115895,0,207Q00000X
115896,0,2084P0800X
115897,0,2084P0800X
115898,1,207T00000X
115899,0,207T00000X
115900,0,2084P0800X
115901,0,2084P0800X
115902,0,2084N0600X
115903,0,2084P0800X
115904,0,207Q00000X
115905,0,2084P0800X
115906,0,2084P0800X
115907,0,207RS0012X
115908,0,2084P0800X
115909,0,2084P0800X
115910,0,207RG0100X
115911,0,2084P0800X
115912,0,2084P0800X
115913,0,2084P0800X
115914,0,2084P0800X
115915,0,2084P0800X
115916,0,2084P0800X
115917,0,2084P0800X
115918,0,2084P0800X
115919,0,2084P0800X
115920,0,2084P0800X
115921,0,2084P0800X
115922,0,2084P0800X
115923,0,2084P0800X
115924,0,2084P0800X
115925,0,2084P0800X
115926,0,2084P0800X
115927,0,2084P0800X
115928,0,2084N0400X
115929,0,2084P0800X
115930,0,207RC0000X
115931,0,2084P0800X
115932,0,2084P0800X
115933,0,2084P0800X
115934,0,207RG0100X
115935,0,2084P0800X
115936,0,2084P0800X
115937,0,2084P0800X
115938,0,2084P0800X
115939,1,2084P0800X
115940,0,2084P0800X
115941,0,2084P0800X
115942,0,2084P0800X
115943,0,2084P0800X
115944,0,2084P0800X
115945,0,2084P0800X
115946,0,2084N0400X
115947,0,207RP1001X
115948,0,2084P0800X
115949,0,207Q00000X
115950,0,2084P0800X
115951,0,2084N0400X
115952,0,2084P0800X
115953,0,2084P0800X
115954,0,2084P0800X
115955,0,2084N0400X
115956,0,2084P0800X
115957,1,2084P0800X
115958,0,2084P0800X
115959,0,2084P0800X
